[2025-11-22 18:59:49,277][conftest.py:10][INFO]: Launching Twitch mobile browser
[2025-11-22 18:59:50,241][conftest.py:13][INFO]: Opening Twitch: https://www.twitch.tv/
[2025-11-22 18:59:52,247][test_twitch_wap.py:20][INFO]: 點擊底部『瀏覽』(Browse) 按鈕
[2025-11-22 18:59:54,549][test_twitch_wap.py:33][INFO]: 尋找搜尋輸入框
[2025-11-22 19:00:04,824][test_twitch_wap.py:49][INFO]: 嘗試點擊搜尋按鈕（icon）
[2025-11-22 19:00:05,357][test_twitch_wap.py:61][INFO]: 搜尋按鈕不存在，改用 ENTER
[2025-11-22 19:00:05,387][test_twitch_wap.py:69][INFO]: 等待搜尋結果頁面載入（包含 頂端/頻道/分類/影片 tab）
[2025-11-22 19:00:05,901][test_twitch_wap.py:77][INFO]: 切換到『影片』tab
[2025-11-22 19:00:09,001][test_twitch_wap.py:87][INFO]: 在『影片』tab 中捲動搜尋結果兩次
[2025-11-22 19:00:16,433][test_twitch_wap.py:92][INFO]: 取得目前 viewport 中第一個完整影片元素並點擊
[2025-11-22 19:00:16,450][test_twitch_wap.py:96][INFO]: 準備點擊的影片連結: https://m.twitch.tv/videos/2622538118
[2025-11-22 19:00:26,555][test_twitch_wap.py:102][INFO]: 實況主影片頁面載入完成，截圖 twitch_streamer.png
[2025-11-22 19:00:26,811][conftest.py:19][INFO]: Closing browser
