[2025-11-22 14:39:49,736][conftest.py:10][INFO]: 啟動 Twitch 手機版瀏覽器
[2025-11-22 14:39:50,518][conftest.py:13][INFO]: 開啟 Twitch: https://www.twitch.tv/
[2025-11-22 14:39:52,527][test_twitch_wap.py:24][INFO]: 點擊底部『瀏覽』(Browse) 按鈕
[2025-11-22 14:39:54,819][test_twitch_wap.py:37][INFO]: 尋找搜尋輸入框
[2025-11-22 14:39:56,062][test_twitch_wap.py:53][INFO]: 嘗試點擊搜尋按鈕（icon）
[2025-11-22 14:39:56,595][test_twitch_wap.py:65][INFO]: 搜尋按鈕不存在，改用 ENTER
[2025-11-22 14:39:56,627][test_twitch_wap.py:73][INFO]: 等待搜尋結果頁面載入（包含 頂端/頻道/分類/影片 tab）
[2025-11-22 14:39:57,148][test_twitch_wap.py:81][INFO]: 切換到『影片』tab
[2025-11-22 14:41:11,371][test_twitch_wap.py:91][INFO]: 在『影片』tab 中捲動搜尋結果兩次
[2025-11-22 14:41:18,807][test_twitch_wap.py:96][INFO]: 取得目前 viewport 中第一個完整影片元素並點擊
[2025-11-22 14:41:18,825][test_twitch_wap.py:100][INFO]: 準備點擊的影片連結: https://m.twitch.tv/videos/2624113421
[2025-11-22 14:41:28,947][test_twitch_wap.py:106][INFO]: 實況主影片頁面載入完成，截圖 twitch_streamer.png
[2025-11-22 14:41:29,122][test_twitch_wap.py:111][INFO]: 關閉瀏覽器
[2025-11-22 14:41:29,126][conftest.py:19][INFO]: 關閉瀏覽器
